Name,Code,Type,Extent,Data Source,Remarks,Revision Date
NAD27(76) / MTM zone 11,2020,projected,Canada - Ontario - MTM zone 11,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 12,2021,projected,Canada - Ontario - MTM zone 12,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 13,2022,projected,Canada - Ontario - MTM zone 13,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 14,2023,projected,Canada - Ontario - 88.5°W to 8…,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 15,2024,projected,Canada - Ontario - 91.5°W to 8…,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 16,2025,projected,Canada - Ontario - 94.5°W to 9…,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 17,2026,projected,Canada - Ontario - west of 94.…,EPSG,,"March 7, 2000"
NAD27(76) / UTM zone 15N,2027,projected,Canada - Ontario - west of 90°…,EPSG,Replaces NAD27 / UTM zone 15N…,"March 7, 2000"
NAD27(76) / UTM zone 16N,2028,projected,Canada - Ontario - 90°W to 84°…,EPSG,Replaces NAD27 / UTM zone 16N…,"March 7, 2000"
NAD27(76) / UTM zone 17N,2029,projected,Canada - Ontario - 84°W to 78°…,EPSG,Replaces NAD27 / UTM zone 17N…,"March 7, 2000"
NAD27(76) / UTM zone 18N,2030,projected,Canada - Ontario - east of 78°…,EPSG,Replaces NAD27 / UTM zone 18N…,"March 7, 2000"
NAD27(CGQ77) / UTM zone 17N,2031,projected,Canada - Quebec - west of 78°W,EPSG,Replaces NAD27 / UTM zone 17N…,"March 7, 2000"
NAD27(CGQ77) / UTM zone 18N,2032,projected,Canada - Quebec - 78°W to 72°W,EPSG,Replaces NAD27 / UTM zone 18N…,"March 7, 2000"
NAD27(CGQ77) / UTM zone 19N,2033,projected,Canada - Quebec - 72°W to 66°W,EPSG,Replaces NAD27 / UTM zone 19N…,"March 7, 2000"
NAD27(CGQ77) / UTM zone 20N,2034,projected,Canada - Quebec - 66°W to 60°W,EPSG,Replaces NAD27 / UTM zone 20N…,"March 7, 2000"
NAD27(CGQ77) / UTM zone 21N,2035,projected,Canada - Quebec - east of 60°W,EPSG,Replaces NAD27 / UTM zone 21N…,"March 7, 2000"
Israel 1993 / Israeli TM Grid,2039,projected,Asia - Middle East - Israel an…,EPSG,Replaces Israeli CS Grid (EPSG…,"November 21, 2014"
Locodjo 1965 / UTM zone 30N,2040,projected,Cote d'Ivoire (Ivory Coast) -…,EPSG,Replaced by Abidjan 87 / UTM 3…,"March 7, 2000"
Abidjan 1987 / UTM zone 30N,2041,projected,Cote d'Ivoire (Ivory Coast) -…,EPSG,Replaces Locodjo 65 / UTM 30N…,"March 7, 2000"
Locodjo 1965 / UTM zone 29N,2042,projected,Cote d'Ivoire (Ivory Coast) -…,EPSG,Replaced by Abidjan 87 / UTM 2…,"March 7, 2000"
Abidjan 1987 / UTM zone 29N,2043,projected,Cote d'Ivoire (Ivory Coast) -…,EPSG,Replaces Locodjo 65 / UTM 29N…,"March 7, 2000"
Hanoi 1972 / Gauss-Kruger zone 18,2044,projected,Vietnam - west of 108°E onshor…,EPSG,Replaces use of Indian 1960 /…,"September 13, 2006"
Hanoi 1972 / Gauss-Kruger zone 19,2045,projected,Vietnam - east of 108°E onshor…,EPSG,Replaces use of Indian 1960 /…,"September 13, 2006"
Hartebeesthoek94 / Lo15,2046,projected,Namibia - Walvis Bay,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo17,2047,projected,South Africa - west of 18°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo19,2048,projected,South Africa - 18°E to 20°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo21,2049,projected,South Africa - 20°E to 22°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo23,2050,projected,South Africa - 22°E to 24°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo25,2051,projected,South Africa - 24°E to 26°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo27,2052,projected,South Africa - 26°E to 28°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo29,2053,projected,South Africa - 28°E to 30°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo31,2054,projected,South Africa - 30°E to 32°E,EPSG,,"March 7, 2000"
Hartebeesthoek94 / Lo33,2055,projected,South Africa - east of 32°E,EPSG,,"March 7, 2000"
CH1903+ / LV95,2056,projected,Europe - Liechtenstein and Swi…,EPSG,Replaces CH1903/LV03 (code 217…,"November 25, 2015"
Rassadiran / Nakhl e Taqi,2057,projected,Iran - Taheri refinery,EPSG,Engineering survey for termina…,"March 7, 2000"
ED50(ED77) / UTM zone 38N,2058,projected,Iran - west of 48°E,EPSG,,"March 7, 2000"
ED50(ED77) / UTM zone 39N,2059,projected,Iran - 48°E to 54°E,EPSG,,"March 7, 2000"
ED50(ED77) / UTM zone 40N,2060,projected,Iran - 54°E to 60°E,EPSG,,"March 7, 2000"
ED50(ED77) / UTM zone 41N,2061,projected,Iran - east of 60°E onshore,EPSG,,"March 7, 2000"
Madrid 1870 (Madrid) / Spain LCC,2062,projected,Spain - mainland onshore,EPSG,Polyhedral projection used for…,"October 1, 2020"
S-JTSK (Ferro) / Krovak,2065,projected,Europe - Czechoslovakia,EPSG,Original definition. In Slovak…,"March 6, 2024"
Mount Dillon / Tobago Grid,2066,projected,Trinidad and Tobago - Tobago -…,EPSG,,"March 7, 2000"
Naparima 1955 / UTM zone 20N,2067,projected,Trinidad and Tobago - Trinidad…,EPSG,,"March 7, 2000"
ELD79 / Libya zone 5,2068,projected,Libya - west of 10°E,EPSG,,"March 7, 2000"
ELD79 / Libya zone 6,2069,projected,Libya - 10°E to 12°E onshore,EPSG,,"March 7, 2000"
ELD79 / Libya zone 7,2070,projected,Libya - 12°E to 14°E onshore,EPSG,,"March 7, 2000"
ELD79 / Libya zone 8,2071,projected,Libya - 14°E to 16°E onshore,EPSG,,"March 7, 2000"
ELD79 / Libya zone 9,2072,projected,Libya - 16°E to 18°E onshore,EPSG,,"March 7, 2000"
ELD79 / Libya zone 10,2073,projected,Libya - 18°E to 20°E onshore,EPSG,,"March 7, 2000"
ELD79 / Libya zone 11,2074,projected,Libya - 20°E to 22°E onshore,EPSG,,"March 7, 2000"
ELD79 / Libya zone 12,2075,projected,Libya - 22°E to 24°E onshore,EPSG,,"March 7, 2000"
ELD79 / Libya zone 13,2076,projected,Libya - east of 24°E onshore,EPSG,,"March 7, 2000"
ELD79 / UTM zone 32N,2077,projected,Libya - west of 12°E onshore,EPSG,,"March 7, 2000"
ELD79 / UTM zone 33N,2078,projected,Libya - 12°E to 18°E onshore,EPSG,,"March 7, 2000"
ELD79 / UTM zone 34N,2079,projected,Libya - 18°E to 24°E onshore,EPSG,,"March 7, 2000"
ELD79 / UTM zone 35N,2080,projected,Libya - east of 24°E onshore,EPSG,,"March 7, 2000"
Chos Malal 1914 / Argentina 2,2081,projected,Argentina - Mendoza and Neuque…,EPSG,Replaced by Campo Inchauspe /…,"January 16, 2020"
Pampa del Castillo / Argentina 2,2082,projected,Argentina - 42.5°S to 50.3°S a…,EPSG,Replaced by Campo Inchauspe /…,"January 16, 2020"
Hito XVIII 1963 / Argentina 2,2083,projected,Argentina - Tierra del Fuego o…,EPSG,,"March 31, 2010"
Hito XVIII 1963 / UTM zone 19S,2084,projected,Argentina - Tierra del Fuego o…,EPSG,,"November 2, 2010"
ELD79 / TM 12 NE,2087,projected,Libya - west of 15°E onshore,EPSG,,"March 7, 2000"
Carthage / TM 11 NE,2088,projected,Tunisia - offshore,EPSG,,"March 7, 2000"
Yemen NGN96 / UTM zone 38N,2089,projected,Yemen - 42°E to 48°E,EPSG,,"March 7, 2000"
Yemen NGN96 / UTM zone 39N,2090,projected,Yemen - 48°E to 54°E,EPSG,,"March 7, 2000"
Hanoi 1972 / GK 106 NE,2093,projected,Vietnam - onshore Vung Tau are…,EPSG,,"March 7, 2000"
WGS 72BE / TM 106 NE,2094,projected,Vietnam - offshore Cuu Long ba…,EPSG,Oil exploration by Total for b…,"March 7, 2000"
Bissau / UTM zone 28N,2095,projected,Guinea-Bissau - onshore,EPSG,,"March 7, 2000"
Korean 1985 / East Belt,2096,projected,"Korea, Republic of (South Kore…",EPSG,Replaces Tokyo 1892 / Korea Ea…,"June 30, 2010"
Korean 1985 / Central Belt,2097,projected,"Korea, Republic of (South Kore…",EPSG,Replaces Tokyo 1892 / Korea Ce…,"June 30, 2010"
Korean 1985 / West Belt,2098,projected,"Korea, Republic of (South Kore…",EPSG,Replaces Tokyo 1892 / Korea We…,"June 30, 2010"
Qatar 1948 / Qatar Grid,2099,projected,Qatar - onshore,EPSG,Also known as Qatar Plane Coor…,"March 7, 2000"
GGRS87 / Greek Grid,2100,projected,Greece - onshore,EPSG,Oil industry uses ED50 / UTM z…,"July 20, 2011"
Lake / Maracaibo Grid M1,2101,projected,Venezuela - Maracaibo area,EPSG,Grid coordinates are (0 0) at…,"June 23, 2008"
Lake / Maracaibo Grid,2102,projected,Venezuela - Maracaibo area,EPSG,Grid coordinates are (200000 2…,"June 23, 2008"
Lake / Maracaibo Grid M3,2103,projected,Venezuela - Maracaibo area,EPSG,Grid coordinates are (500000 5…,"June 23, 2008"
Lake / Maracaibo La Rosa Grid,2104,projected,Venezuela - Maracaibo - blocks…,EPSG,Grid coordinates are (X=-17044…,"November 19, 2023"
NZGD2000 / Mount Eden 2000,2105,projected,New Zealand - North Island - M…,EPSG,Replaced NZGD49 / Mount Eden C…,"January 25, 2011"
NZGD2000 / Bay of Plenty 2000,2106,projected,New Zealand - North Island - B…,EPSG,Replaced NZGD49 / Bay of Plent…,"January 25, 2011"
NZGD2000 / Poverty Bay 2000,2107,projected,New Zealand - North Island - P…,EPSG,Replaced NZGD49 / Poverty Bay…,"January 25, 2011"
NZGD2000 / Hawkes Bay 2000,2108,projected,New Zealand - North Island - H…,EPSG,Replaced NZGD49 / Hawkes Bay C…,"January 25, 2011"
NZGD2000 / Taranaki 2000,2109,projected,New Zealand - North Island - T…,EPSG,Replaced NZGD49 / Taranaki Cir…,"January 25, 2011"
NZGD2000 / Tuhirangi 2000,2110,projected,New Zealand - North Island - T…,EPSG,Replaced NZGD49 / Tuhirangi Ci…,"January 25, 2011"
NZGD2000 / Wanganui 2000,2111,projected,New Zealand - North Island - W…,EPSG,Replaced NZGD49 / Wanganui Cir…,"January 25, 2011"
NZGD2000 / Wairarapa 2000,2112,projected,New Zealand - North Island - W…,EPSG,Replaced NZGD49 / Wairarapa Ci…,"January 25, 2011"
NZGD2000 / Wellington 2000,2113,projected,New Zealand - North Island - W…,EPSG,Replaced NZGD49 / Wellington C…,"January 25, 2011"
NZGD2000 / Collingwood 2000,2114,projected,New Zealand - South Island - C…,EPSG,Replaced NZGD49 / Collingwood…,"January 25, 2011"
NZGD2000 / Nelson 2000,2115,projected,New Zealand - South Island - N…,EPSG,Replaced NZGD49 / Nelson Circu…,"January 25, 2011"
NZGD2000 / Karamea 2000,2116,projected,New Zealand - South Island - K…,EPSG,Replaced NZGD49 / Karamea Circ…,"January 25, 2011"
NZGD2000 / Buller 2000,2117,projected,New Zealand - South Island - B…,EPSG,Replaced NZGD49 / Buller Circu…,"January 25, 2011"
NZGD2000 / Grey 2000,2118,projected,New Zealand - South Island - G…,EPSG,Replaced NZGD49 / Grey Circuit…,"January 25, 2011"
NZGD2000 / Amuri 2000,2119,projected,New Zealand - South Island - A…,EPSG,Replaced NZGD49 / Amuri Circui…,"January 25, 2011"
NZGD2000 / Marlborough 2000,2120,projected,New Zealand - South Island - M…,EPSG,Replaced NZGD49 / Marlborough…,"January 25, 2011"
NZGD2000 / Hokitika 2000,2121,projected,New Zealand - South Island - H…,EPSG,Replaced NZGD49 / Hokitika Cir…,"January 25, 2011"
NZGD2000 / Okarito 2000,2122,projected,New Zealand - South Island - O…,EPSG,Replaced NZGD49 / Okarito Circ…,"January 25, 2011"
NZGD2000 / Jacksons Bay 2000,2123,projected,New Zealand - South Island - J…,EPSG,Replaced NZGD49 / Jacksons Bay…,"January 25, 2011"
NZGD2000 / Mount Pleasant 2000,2124,projected,New Zealand - South Island - M…,EPSG,Replaced NZGD49 / Mount Pleasa…,"January 25, 2011"
NZGD2000 / Gawler 2000,2125,projected,New Zealand - South Island - G…,EPSG,Replaced NZGD49 / Gawler Circu…,"January 25, 2011"
NZGD2000 / Timaru 2000,2126,projected,New Zealand - South Island - T…,EPSG,Replaced NZGD49 / Timaru Circu…,"January 25, 2011"
NZGD2000 / Lindis Peak 2000,2127,projected,New Zealand - South Island - L…,EPSG,Replaced NZGD49 / Lindis Peak…,"January 25, 2011"
NZGD2000 / Mount Nicholas 2000,2128,projected,New Zealand - South Island - M…,EPSG,Replaced NZGD49 / Mount Nichol…,"January 25, 2011"
NZGD2000 / Mount York 2000,2129,projected,New Zealand - South Island - M…,EPSG,Replaced NZGD49 / Mount York C…,"January 25, 2011"
NZGD2000 / Observation Point 2000,2130,projected,New Zealand - South Island - O…,EPSG,Replaced NZGD49 / Observation…,"January 25, 2011"
NZGD2000 / North Taieri 2000,2131,projected,New Zealand - South Island - N…,EPSG,Replaced NZGD49 / North Taieri…,"January 25, 2011"
NZGD2000 / Bluff 2000,2132,projected,New Zealand - South and Stewar…,EPSG,Replaced NZGD49 / Bluff Circui…,"January 25, 2011"
NZGD2000 / UTM zone 58S,2133,projected,New Zealand - offshore 162°E t…,EPSG,Replaces NZGD49 / UTM zone 58S…,"October 19, 2000"
NZGD2000 / UTM zone 59S,2134,projected,New Zealand - offshore 168°E t…,EPSG,Replaces NZGD49 / UTM zone 59S…,"October 19, 2000"
NZGD2000 / UTM zone 60S,2135,projected,New Zealand - offshore 174°E t…,EPSG,Replaces NZGD49 / UTM zone 60S…,"October 19, 2000"
Accra / Ghana National Grid,2136,projected,Ghana - onshore,EPSG,Ellipsoid semi-major axis (a)=…,"November 19, 2023"
Accra / TM 1 NW,2137,projected,Ghana - offshore,EPSG,,"October 19, 2000"
NAD27(CGQ77) / Quebec Lambert,2138,projected,Canada - Quebec,EPSG,Replaced NAD27 / Quebec Lamber…,"December 13, 2013"
RGF93 v1 / Lambert-93,2154,projected,France,EPSG,,"September 8, 2021"
IRENET95 / Irish Transverse Mercator,2157,projected,Europe - Ireland (Republic and…,EPSG,Replaces TM75 / Irish Grid (co…,"April 7, 2004"
IRENET95 / UTM zone 29N,2158,projected,Europe - Ireland (Republic and…,EPSG,,"January 25, 2011"
Sierra Leone 1924 / New Colony Grid,2159,projected,Sierra Leone - Freetown Penins…,EPSG,Replaces the Sierra Leone 1924…,"June 5, 2001"
Sierra Leone 1924 / New War Office Grid,2160,projected,Sierra Leone - Freetown Penins…,EPSG,Replaces the Sierra Leone War…,"June 5, 2001"
Sierra Leone 1968 / UTM zone 28N,2161,projected,Sierra Leone - west of 12°W,EPSG,Replaces Sierra Leone 1960 / U…,"June 5, 2001"
Sierra Leone 1968 / UTM zone 29N,2162,projected,Sierra Leone - east of 12°W,EPSG,Replaces Sierra Leone 1960 / U…,"June 5, 2001"
Locodjo 1965 / TM 5 NW,2164,projected,Cote d'Ivoire (Ivory Coast) -…,EPSG,,"June 5, 2001"
Abidjan 1987 / TM 5 NW,2165,projected,Cote d'Ivoire (Ivory Coast) -…,EPSG,,"June 5, 2001"
LUREF / Luxembourg TM,2169,projected,Luxembourg,EPSG,,"January 3, 2022"
Pulkovo 1942(58) / Poland zone II,2172,projected,Poland - zone II,EPSG,To be phased out after 2009. R…,"May 27, 2005"
Pulkovo 1942(58) / Poland zone III,2173,projected,Poland - zone III,EPSG,To be phased out after 2009. R…,"May 27, 2005"
Pulkovo 1942(58) / Poland zone IV,2174,projected,Poland - zone IV,EPSG,To be phased out after 2009. R…,"May 27, 2005"
Pulkovo 1942(58) / Poland zone V,2175,projected,Poland - zone V,EPSG,To be phased out after 2009. R…,"May 27, 2005"
ETRF2000-PL / CS2000/15,2176,projected,Poland - west of 16.5°E,EPSG,See ETRF2000-PL / CS92 (code 2…,"March 18, 2021"
ETRF2000-PL / CS2000/18,2177,projected,Poland - 16.5°E to 19.5°E,EPSG,See ETRF2000-PL / CS92 (code 2…,"March 18, 2021"
ETRF2000-PL / CS2000/21,2178,projected,Poland - 19.5°E to 22.5°E,EPSG,See ETRF2000-PL / CS92 (code 2…,"March 18, 2021"
ETRF2000-PL / CS2000/24,2179,projected,Poland - east of 22.5°E,EPSG,See ETRF2000-PL / CS92 (code 2…,"March 18, 2021"
ETRF2000-PL / CS92,2180,projected,Poland,EPSG,See ETRF2000-PL / CS2000 zones…,"March 18, 2021"
Azores Occidental 1939 / UTM zone 25N,2188,projected,Portugal - Azores W - onshore,EPSG,Replaced by PTRA08 / UTM zone…,"March 31, 2010"
Azores Central 1948 / UTM zone 26N,2189,projected,Portugal - Azores C - onshore,EPSG,,"May 27, 2005"
Azores Oriental 1940 / UTM zone 26N,2190,projected,Portugal - Azores E - onshore,EPSG,,"May 27, 2005"
NZGD2000 / New Zealand Transverse Mercator 2000,2193,projected,New Zealand - onshore,EPSG,Replaces NZGD49 / New Zealand…,"January 21, 2012"
NAD83(HARN) / UTM zone 2S,2195,projected,American Samoa - 2 main island…,EPSG,Replaces American Samoa 1962 /…,"May 21, 2005"
ETRS89 / Kp2000 Jutland,2196,projected,Denmark - onshore Jutland and…,EPSG,Replaces System 34 Jutland zon…,"March 30, 2020"
ETRS89 / Kp2000 Zealand,2197,projected,Denmark - onshore Zealand and…,EPSG,Replaces System 34 Zealand zon…,"March 30, 2020"
ETRS89 / Kp2000 Bornholm,2198,projected,Denmark - onshore Bornholm,EPSG,Replaces System 45. For engine…,"March 30, 2020"
ATS77 / New Brunswick Stereographic (ATS77),2200,projected,Canada - New Brunswick,EPSG,In use from 1979. Replaces NAD…,"October 8, 2011"
REGVEN / UTM zone 18N,2201,projected,Venezuela - west of 72°W,EPSG,,"November 6, 2001"
REGVEN / UTM zone 19N,2202,projected,Venezuela - 72°W and 66°W,EPSG,,"May 9, 2011"
REGVEN / UTM zone 20N,2203,projected,Venezuela - east of 66°W,EPSG,,"May 9, 2011"
NAD27 / Tennessee,2204,projected,USA - Tennessee,EPSG,,"November 6, 2001"
NAD83 / Kentucky North,2205,projected,USA - Kentucky - SPCS - N,EPSG,State law defines system in US…,"November 6, 2001"
ED50 / 3-degree Gauss-Kruger zone 9,2206,projected,Turkey - west of 28.5°E onshor…,EPSG,Also found with truncated fals…,"November 6, 2001"
ED50 / 3-degree Gauss-Kruger zone 10,2207,projected,Turkey - 28.5°E to 31.5°E onsh…,EPSG,Also found with truncated fals…,"November 6, 2001"
ED50 / 3-degree Gauss-Kruger zone 11,2208,projected,Turkey - 31.5°E to 34.5°E onsh…,EPSG,Also found with truncated fals…,"November 6, 2001"
ED50 / 3-degree Gauss-Kruger zone 12,2209,projected,Turkey - 34.5°E to 37.5°E onsh…,EPSG,Also found with truncated fals…,"November 6, 2001"
ED50 / 3-degree Gauss-Kruger zone 13,2210,projected,Turkey - 37.5°E to 40.5°E onsh…,EPSG,Also found with truncated fals…,"November 6, 2001"
ED50 / 3-degree Gauss-Kruger zone 14,2211,projected,Turkey - 40.5°E to 43.5°E onsh…,EPSG,Also found with truncated fals…,"November 6, 2001"
ED50 / 3-degree Gauss-Kruger zone 15,2212,projected,Turkey - east of 43.5°E,EPSG,Also found with truncated fals…,"November 6, 2001"
ETRS89 / TM 30 NE,2213,projected,Romania - offshore,EPSG,,"March 30, 2020"
Manoca 1962 / UTM zone 32N,2215,projected,Cameroon - coastal area,EPSG,Replaces Douala 1948 / AOF wes…,"November 18, 2002"
Qornoq 1927 / UTM zone 22N,2216,projected,Greenland - southwest coast 54…,EPSG,,"January 18, 2002"
Qornoq 1927 / UTM zone 23N,2217,projected,Greenland - southwest coast ea…,EPSG,,"January 18, 2002"
Scoresbysund 1952 / Greenland zone 5 east,2218,projected,Greenland - east coast - 69°N…,EPSG,Historically also found with c…,"February 13, 2012"
ATS77 / UTM zone 19N,2219,projected,Canada - Maritime Provinces -…,EPSG,In use from 1979. To be phased…,"July 22, 1997"
ATS77 / UTM zone 20N,2220,projected,Canada - Maritime Provinces -…,EPSG,In use from 1979. To be phased…,"July 22, 1997"
Scoresbysund 1952 / Greenland zone 6 east,2221,projected,Greenland - east coast - 68°N…,EPSG,Historically also found with c…,"February 13, 2012"
NAD83 / Arizona East (ft),2222,projected,USA - Arizona - SPCS - E,EPSG,State law defines system in In…,"November 6, 2001"
NAD83 / Arizona Central (ft),2223,projected,USA - Arizona - SPCS - C,EPSG,State law defines system in In…,"November 6, 2001"
NAD83 / Arizona West (ft),2224,projected,USA - Arizona - SPCS - W,EPSG,State law defines system in In…,"November 6, 2001"
NAD83 / California zone 1 (ftUS),2225,projected,USA - California - SPCS - 1,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / California zone 2 (ftUS),2226,projected,USA - California - SPCS - 2,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / California zone 3 (ftUS),2227,projected,USA - California - SPCS - 3,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / California zone 4 (ftUS),2228,projected,USA - California - SPCS - 4,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / California zone 5 (ftUS),2229,projected,USA - California - SPCS83 - 5,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / California zone 6 (ftUS),2230,projected,USA - California - SPCS - 6,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Colorado North (ftUS),2231,projected,USA - Colorado - SPCS - N,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Colorado Central (ftUS),2232,projected,USA - Colorado - SPCS - C,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Colorado South (ftUS),2233,projected,USA - Colorado - SPCS - S,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Connecticut (ftUS),2234,projected,USA - Connecticut,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Delaware (ftUS),2235,projected,USA - Delaware,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Florida East (ftUS),2236,projected,USA - Florida - SPCS - E,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Florida West (ftUS),2237,projected,USA - Florida - SPCS - W,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Florida North (ftUS),2238,projected,USA - Florida - SPCS - N,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Georgia East (ftUS),2239,projected,USA - Georgia - SPCS - E,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Georgia West (ftUS),2240,projected,USA - Georgia - SPCS - W,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Idaho East (ftUS),2241,projected,USA - Idaho - SPCS - E,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Idaho Central (ftUS),2242,projected,USA - Idaho - SPCS - C,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Idaho West (ftUS),2243,projected,USA - Idaho - SPCS - W,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Kentucky North (ftUS),2246,projected,USA - Kentucky - SPCS - N,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Kentucky South (ftUS),2247,projected,USA - Kentucky - SPCS - S,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Maryland (ftUS),2248,projected,USA - Maryland,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Massachusetts Mainland (ftUS),2249,projected,USA - Massachusetts - SPCS - m…,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Massachusetts Island (ftUS),2250,projected,USA - Massachusetts - SPCS - i…,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Michigan North (ft),2251,projected,USA - Michigan - SPCS - N,EPSG,State law defines system in In…,"November 6, 2001"
NAD83 / Michigan Central (ft),2252,projected,USA - Michigan - SPCS - C,EPSG,State law defines system in In…,"November 6, 2001"
NAD83 / Michigan South (ft),2253,projected,USA - Michigan - SPCS - S,EPSG,State law defines system in In…,"November 6, 2001"
NAD83 / Mississippi East (ftUS),2254,projected,USA - Mississippi - SPCS - E,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Mississippi West (ftUS),2255,projected,USA - Mississippi - SPCS - W,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / Montana (ft),2256,projected,USA - Montana,EPSG,State law defines system in In…,"November 6, 2001"
NAD83 / New Mexico East (ftUS),2257,projected,USA - New Mexico - SPCS - E,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / New Mexico Central (ftUS),2258,projected,USA - New Mexico - SPCS83 - C,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / New Mexico West (ftUS),2259,projected,USA - New Mexico - SPCS83 - W,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / New York East (ftUS),2260,projected,USA - New York - SPCS - E,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / New York Central (ftUS),2261,projected,USA - New York - SPCS - C,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / New York West (ftUS),2262,projected,USA - New York - SPCS - W,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / New York Long Island (ftUS),2263,projected,USA - New York - SPCS - Long I…,EPSG,State law defines system in US…,"November 6, 2001"
NAD83 / North Carolina (ftUS),2264,projected,USA - North Carolina,EPSG,State law defines system in US…,"January 19, 2007"
NAD83 / North Dakota North (ft),2265,projected,USA - North Dakota - SPCS - N,EPSG,State law defines system in In…,"November 6, 2001"
